Name film,graduation year,Rate IMDB,Rate Metacritic,Budget,Cashier's fees
However college win right media walk.,2016,4.2,7.0,26554764.66,406184508.35
Less move public effort. Majority respond while.,2005,3.6,81.8,12803078.21,213563203.72
Nor hard audience six image left machine grow.,2004,5.2,36.9,18434286.46,220844830.59
Nature war mention nothing space.,2003,2.1,24.3,5509220.61,129403050.72
Too them song down market center practice.,1973,4.3,17.7,75156433.08,158035047.72
Who wide official policy word part boy total.,1953,2.6,10.6,73770226.07,142973029.41
While music blue him with.,2003,3.8,61.2,45466902.46,446993575.29
Far ago group dark gas debate research.,1999,1.1,3.6,37042223.19,276112510.62
Area fish time product.,1970,8.2,98.7,79229760.19,395794284.78
Option nation yard movie law increase.,1978,4.8,22.1,46956109.53,62836077.39
Next stop audience doctor build about.,2020,3.6,73.4,90072687.18,226000136.59
Build cup sit friend. My reduce property.,1952,2.1,6.8,92023359.41,18133185.41
Half so feel few.,2012,7.2,65.2,73136426.99,488202381.76
Likely receive trade anything market.,1986,5.1,35.5,54569935.33,287335233.72
Common compare religious candidate majority.,1981,5.2,18.7,92539451.81,269947703.39
Art couple nearly example save place near.,1999,2.4,82.2,23655762.81,213503554.37
Rich energy much position so difference enjoy.,1962,7.4,31.8,34180932.92,178146962.03
Anyone situation affect sit doctor rule gun.,2000,4.0,88.5,44060184.86,74438409.42
Stay letter meeting reduce party thing beat.,2016,1.3,49.7,87116729.68,280845487.44
Course executive assume security interview.,2004,8.8,12.4,46028362.45,308511813.59
Sport forward point need. Hospital case way ten.,1956,9.7,30.5,27448982.97,239110993.07
Itself face control civil. Write wife community.,1955,5.2,26.3,78446417.5,371547936.14
Her much million training.,2012,5.7,11.0,89831538.72,462414709.28
Case plan we dinner into.,2005,7.4,71.4,70941030.8,136214208.48
According oil clearly suddenly approach white.,1950,6.6,48.3,97398859.33,114021613.43
Power your also trade movement more.,1978,1.8,12.3,57725998.42,433273111.23
Let either sea admit. Work boy allow indeed.,1961,7.0,59.1,90562029.28,168775928.5
Certain herself eye boy stage within hard soon.,2022,1.5,59.4,86804791.98,45463735.57
Industry military officer commercial travel term.,1955,5.3,42.7,67517480.04,466939020.9
Work administration serve they foreign.,1950,9.9,57.8,41074114.44,479278657.37
Sing hotel early bill small.,2005,4.7,26.7,94264938.7,159815585.18
Include produce least budget four such.,1997,4.5,68.9,43428232.04,133805584.7
Word city language life.,2006,5.3,73.2,47707253.98,15276011.23
Know community development learn its from.,2000,7.5,64.0,4960008.02,165168501.02
Approach carry suddenly shake.,1991,5.4,81.5,45040641.66,126519662.84
Example interesting beyond.,1999,5.5,4.6,65438708.9,359805374.35
Trip million though garden.,2000,4.5,77.8,43034273.72,153375746.46
Of must or play include month.,2008,8.9,69.3,18578897.82,210638411.28
Else low discover theory cultural attack.,1955,4.3,28.8,12068192.53,227188798.61
Color city whole behavior throw need.,2004,7.4,31.4,62858607.21,367455596.89
Art board beat senior when. Adult finally young.,2004,3.5,67.5,32822425.58,177658301.51
White study in garden everything.,1973,5.2,50.5,74602181.17,160968570.54
Garden wear such name.,2009,2.2,63.8,70559963.86,409991331.48
Seat begin meeting. Bad respond policy true.,2023,3.2,17.1,29440138.8,305639989.37
Blue bank husband officer sort.,1959,4.9,97.6,27182026.98,126733713.41
Back tough increase before.,2000,5.6,58.9,8616720.41,252535200.41
Success third believe line eight imagine.,2021,6.7,40.0,58979602.73,463959141.31
Mouth yes fight team gas might to.,1950,5.0,20.9,87750097.23,194566661.42
Identify fall tend hotel black.,1994,6.9,33.8,26367066.25,285860569.19
Teach same whether price born.,2014,1.0,90.8,33089617.98,299268175.66
Series office west direction million almost sell.,1986,9.2,94.2,34339121.51,60816772.39
Experience sea reach learn film her run resource.,1960,9.4,94.1,56213610.46,148176373.11
Describe girl fast generation those.,2015,2.4,33.4,89681223.62,160603672.72
Usually truth system student.,1986,7.0,11.8,37111247.6,22299124.15
Contain able there run.,2000,3.5,18.0,76355364.45,497628816.77
Computer while expert maintain lawyer.,2005,6.6,93.4,24008738.75,236088424.06
Amount walk item manage often.,1992,6.3,86.9,14698955.19,284865012.38
Its system require.,1992,2.6,65.9,55854295.21,410399060.49
Red beat stuff street.,2005,8.3,62.0,78649394.83,376711112.51
Town set huge both truth race study.,2003,2.5,35.0,27464712.77,381618468.07
Paper soldier fight on.,2000,9.1,31.1,79117981.79,156333894.24
Find scientist city standard structure.,1950,9.3,50.1,15401667.9,386378930.88
Individual show hope my college Congress change.,1981,6.4,80.8,31202798.92,350118502.96
Local most range.,1988,1.5,41.8,38729796.37,206564817.73
Remain college author everything society free.,1997,1.9,55.1,60976986.53,390864923.18
Bit find entire exist.,1981,6.5,32.4,84880220.69,196661852.91
Act three institution cell.,1994,6.1,45.4,42585470.27,102799681.62
Church idea nothing here foreign.,1962,4.9,50.4,77881543.48,331471199.79
That leader ahead third.,1965,2.9,82.2,83864014.52,300707166.17
Do ok program wonder push as sit.,1955,6.0,24.9,20518186.02,379475710.36
Hand now environmental center unit.,1976,2.8,45.7,75992916.65,390887937.31
Responsibility begin lawyer direction base.,1977,2.1,96.9,40765514.78,104905620.87
This east everybody air why start military.,1963,9.9,11.7,49359177.15,55023104.3
To walk his Republican service. Firm power pass.,1961,8.2,18.6,5885654.34,463789834.37
Day executive guess marriage more wait.,1990,4.3,27.2,61899085.79,66014805.05
Not account drug our.,1976,5.3,32.3,25558368.0,241340129.45
Mind agree at peace policy return.,1966,6.8,60.8,46147605.45,398098846.96
Garden great security bar short factor.,2008,6.4,57.8,61085427.15,359358992.33
Technology wait task that huge statement prevent.,1965,9.7,81.6,20733248.02,491414354.84
Final now indicate training top ever look smile.,1959,1.2,87.9,37801290.02,49362449.89
Not green time.,1961,1.4,6.2,61455580.26,331487011.23
Question yeah recently thousand.,2012,2.0,37.2,82169039.17,83130204.25
Four bring community recognize meeting.,1991,3.3,89.2,39426400.05,29925463.8
Trip nearly simply walk per question economy.,1982,1.1,35.0,29660619.57,304707714.8
Stock tonight movie stay.,1998,2.0,17.4,68720578.11,362445089.15
Trade room which art rock control staff.,2007,3.4,82.2,47132894.79,205117690.38
Perhaps common third by live.,2006,6.5,80.3,94617988.01,259941132.29
Water prove Mrs outside available line medical.,1981,9.9,98.2,38508530.44,129629344.59
Much defense turn who themselves adult.,1954,9.2,41.8,77226336.33,388043296.14
Wait remember manage fish.,2019,2.4,60.0,99372540.42,115770867.92
Issue why land population.,1992,9.9,52.5,86374960.51,490020632.56
The such glass citizen.,1952,6.8,31.0,21051457.93,414137104.8
Eat nice west simple.,2022,4.3,53.7,66214705.68,75235024.3
Case usually whatever have issue wish.,2002,9.9,43.7,82278277.38,7425010.74
Suddenly get operation film main through.,1983,5.7,62.2,17497660.19,450745196.56
Drop cup imagine gas improve explain although.,1968,5.5,72.1,83027336.9,393869335.5
Religious teach section risk turn brother parent.,1983,5.6,77.0,40944806.65,407372069.85
It across note guy point.,1997,8.8,24.4,73523604.85,280553797.29
Government food power bill.,2001,2.3,28.4,68537716.44,113982592.32
Laugh form exactly.,2011,9.5,91.4,32911973.53,411114551.03
Peace pass result.,1950,8.5,94.1,5226863.9,8631723.8
Yet foot suddenly require treatment many theory.,1972,7.2,72.0,84235481.86,191153922.97
Million citizen floor me again conference stay.,1952,3.6,15.7,95607853.54,350637118.84
Gun animal office just although think.,2006,2.7,44.4,54754886.84,436069878.7
Operation unit people.,1957,1.4,94.2,72307261.92,313257275.12
Prevent reality small impact would huge.,2006,7.5,4.7,33692394.95,362308912.56
Wear talk memory brother now consider near race.,2017,9.1,14.8,89099569.39,22411742.03
Travel personal choose individual.,1972,7.3,87.1,86442182.69,324116324.72
Here agent me room.,1953,4.1,13.6,92485747.06,3368943.85
Smile performance and.,1967,4.6,4.4,63107577.82,235893291.25
Generation push grow else behavior.,2009,8.0,47.2,28738485.28,465068362.12
Box Republican clear everything home morning.,2014,8.0,24.9,61352944.64,489150384.22
Begin end behavior reality. Look our price large.,1993,2.8,37.1,17425159.86,415609241.61
Inside coach would quite important become form.,2007,4.3,36.0,14184665.1,106588974.17
New short rate allow data several and each.,2007,2.2,96.9,14733903.06,248202866.15
Recently street any might home already single.,1964,6.0,63.6,28286801.08,487692909.49
Bad certainly game lose.,1963,7.9,85.0,81424447.95,240343783.34
In even detail person expect.,2016,2.9,5.7,16085886.27,45000371.39
Onto painting gun play top party land.,1957,7.4,20.1,78662436.33,409964549.6
Knowledge war whether together late few.,1982,5.4,92.0,86955178.1,212425222.06
Choose decade hear.,1950,1.8,92.3,84038501.29,273226030.28
Help already receive account beyond.,2003,6.2,51.8,66927184.68,466732276.28
Goal expert act party writer.,2022,8.7,97.9,33007934.94,35869212.43
Area room my seven raise term word.,1965,6.8,20.2,30344965.27,282074368.14
Couple receive example understand will partner.,1961,6.8,29.4,66518129.52,351420326.48
Air money pressure final instead together read.,2004,7.9,37.5,38803474.17,271578136.75
Add tell arm husband any picture church.,1950,1.9,54.2,8058933.92,345175626.94
Ready mission senior teach value.,1989,4.0,14.7,75494991.55,74915117.9
Side see war ten. Growth three kind five.,1961,5.1,90.2,41790878.95,460053419.75
Than want practice area stay.,1973,4.0,81.5,99952336.24,30848497.55
Language Republican hit.,2017,1.1,50.6,76344688.91,316422492.4
Strong act next cold tax sense about.,2020,9.3,88.1,3611350.93,327181685.99
Admit send draw plant tree property.,1958,7.2,98.7,10142779.3,126761526.55
Happy whatever never prove.,2001,7.3,55.0,19261534.72,12256077.2
Sing fast alone take already floor result.,1964,8.4,42.9,13080315.74,448240074.57
Night woman bag green population base.,1962,1.7,43.5,78702822.71,97205813.59
Drug example force.,2005,3.3,97.7,46686305.3,413151190.57
Chance society enjoy perhaps use.,1976,7.0,82.9,71583378.76,221507626.76
Education pay indicate space.,1973,7.1,20.5,82849631.17,298756740.5
Box blue note send clear seat.,1959,6.9,5.1,10838462.9,170577379.17
Center shoulder generation thank fill son enough.,1952,9.0,23.1,92316022.31,387278868.89
Vote dream bill name serve man.,2023,9.0,7.3,88866976.05,28247245.58
Fund service president.,1975,5.3,59.1,88519128.37,152124171.26
Professional imagine week increase those mention.,1970,6.0,69.7,22317208.54,444255842.85
Such month boy decision. Her exactly lawyer.,2019,6.4,5.1,84393427.82,315514640.72
Edge process window local.,1968,7.1,63.4,35976635.89,473252120.15
Old that data deep think in claim simple.,1964,8.2,44.3,28561284.39,245699986.47
Product with clear account cultural.,1963,2.4,50.0,83318019.85,199539925.19
Mention respond stand firm eight hope life.,1993,6.0,66.7,73072688.68,216379754.83
None effect home fact draw catch view.,2006,2.3,38.8,97456827.43,343329062.99
Interest drop actually radio begin.,1953,3.1,73.8,57698411.34,191224020.61
Many down political media phone race you notice.,2005,9.8,67.0,58154693.78,335231854.44
Fill poor human. Value newspaper can while.,2004,6.5,16.4,55601722.9,212559653.54
About than whole on ever right.,2002,1.9,70.7,90369350.09,404885547.65
Glass they spring experience address election.,2002,6.5,46.9,25019277.7,395982303.45
Test hope story degree. Hear can she imagine.,1961,7.7,81.6,37207065.04,48183890.89
Person long simply buy every mean.,1985,1.6,96.0,67028037.26,93980494.79
Grow benefit now doctor.,1955,8.6,98.3,4773399.29,418920049.17
Bit inside leader child artist best.,2022,1.3,38.7,10636397.74,387155745.15
See indicate live stock.,1997,5.3,62.1,69293760.21,454786084.12
Decision evidence respond happen purpose.,1960,6.4,36.8,54210856.07,416757049.6
Letter arm actually.,1972,3.9,78.9,80036849.65,76642937.47
Certain item beat less baby. Lead amount better.,2008,3.6,55.5,36916965.55,418554216.39
Success idea possible test people attack.,1989,5.2,6.0,96038955.26,264879573.08
Avoid win plant those. Catch start beautiful.,2014,9.0,19.6,15084692.59,245613873.84
Agency do mouth employee wind summer reality.,1973,9.3,95.0,60663285.24,381428754.77
Husband go environment.,2016,7.8,59.5,61998892.8,483981338.72
Party including daughter coach yes.,1996,3.6,56.8,69746090.4,63546031.09
Effect soon number how later.,1988,7.8,55.1,30031217.99,278479549.71
Bed whatever real act charge animal.,1987,7.1,13.9,30010136.06,490719513.44
Very understand ready nothing would half.,1967,5.1,8.4,19351209.01,489992799.24
Each system party number.,1953,3.7,60.4,55240203.58,30158912.08
Condition certain economic network general.,1994,6.5,31.6,70460689.25,431313696.3
Represent collection matter they.,1998,4.9,27.8,80406132.96,68659645.68
Want number third or.,1969,5.3,3.8,37940886.1,445583937.37
Price seven tend similar news represent.,2007,7.4,38.7,20160159.36,360453379.25
Oil attention hair us certain able woman and.,2008,7.9,53.6,67762395.21,71297907.69
Movie federal ok successful. Five ok attorney.,2017,3.6,93.0,56933908.02,91275268.52
Could both still argue.,1968,5.3,81.6,38103510.15,14016255.27
Choose although democratic language.,2010,2.6,43.0,48886667.91,320953420.08
Staff Congress white despite evidence despite.,2020,5.7,9.0,6056046.95,435941300.84
Green future significant poor apply type.,2018,9.1,76.0,20876985.15,390871105.54
Mother not institution certain sometimes simply.,1988,3.6,14.2,34514644.15,445935515.72
Walk director this participant buy local.,1994,4.1,56.3,31745572.02,214473450.24
Leave pattern within law.,2008,1.9,87.9,83942206.15,182600418.52
Certain actually event feeling ground community.,1961,9.6,33.1,1396087.11,323280770.7
All pick whatever his always charge by.,1957,9.8,15.8,62521086.39,210077336.09
Season specific order break organization policy.,1988,1.8,29.6,95792949.11,440985525.24
Dream report fine.,1983,1.7,50.7,95981537.67,23790687.29
He anything east heavy vote only bad language.,2011,6.0,24.8,89081931.91,476827733.45
Foot more morning participant.,2022,8.4,41.6,41729406.99,196025528.05
Their drop east baby.,1988,8.7,28.2,62337396.63,66903010.79
Single above she key away charge start.,1985,5.4,43.6,61835492.03,38149195.07
Us how sign operation culture music call.,1995,1.7,29.0,91332859.42,424910917.92
Young police market form month other.,1956,4.6,78.8,41148163.56,29212529.06
Travel government city trip employee.,2017,5.5,29.8,54355660.38,239831269.19
At arrive win young value. Grow fish every lay.,1990,4.3,86.9,73818040.43,17319754.92
Company office success.,1991,4.2,44.0,43440834.96,161784894.46
Political he those. Evidence couple challenge be.,1986,8.0,26.7,43616079.0,203043466.33
Growth ready and. Best person key executive week.,1959,6.0,9.2,56018846.85,86402858.27
South process year hand.,2003,2.5,27.0,51629660.09,204524789.18
Page of laugh could any floor.,1986,5.0,37.0,9540042.11,31416470.33
Main over any appear room.,1976,1.8,35.5,48669642.51,335829829.14
Trip official soon garden.,1987,3.1,84.7,83335924.78,138391194.36
