Назва фільму,Рік випуску,Rate IMDB,Rate Metacritic,Budget,Касові збори
Only time concern wish get.,2017,5.5,19.2,23207475.05,314161043.76
Those her simply do then activity.,1983,3.8,80.2,79227134.47,132809486.7
Claim home wrong position get several.,1987,1.9,20.6,51624635.48,67968739.91
Line contain score perform worry general do.,1963,2.3,26.6,9837128.24,172285946.39
Next explain seem long represent policy become.,2003,8.0,95.0,2298744.21,357850150.48
Use use hand camera ago.,2020,8.0,54.8,25823292.7,336527756.8
Color trouble company give federal writer.,2009,3.5,14.6,51340999.23,169056583.75
Quality occur join doctor develop movie point.,2023,9.6,86.3,76950142.63,282916569.44
Pattern pay commercial. Drop cell half skill I.,1975,3.9,62.1,62986746.57,42844219.99
Lay leader particularly student pattern final.,1953,8.4,29.8,55540699.93,329259817.05
Style recent job poor about phone.,2016,8.7,78.5,26960614.16,6529563.68
Price heavy Congress show.,1967,8.2,1.4,92409466.52,390930949.42
Nor stage write chair.,1993,1.4,49.5,79359814.82,9302993.95
Degree herself parent coach.,1972,2.9,92.1,13281131.11,40450698.16
Of husband address study.,1955,8.3,11.3,86775373.78,275501283.36
Easy leader you.,2017,4.2,78.4,33788146.94,377266397.84
Color floor one the analysis lead floor.,1962,5.3,92.1,2519065.31,477558284.06
Them often wait each interesting.,1983,4.2,93.4,30371721.72,55934683.39
Others measure author.,1981,4.3,91.9,51806036.06,202240200.96
As small cost despite cell herself enough.,2009,4.6,26.2,39732054.0,494952788.3
Deep wait reduce least.,1992,7.3,35.3,54259958.05,325487463.96
If tough explain bill. Seven skill teach.,2023,2.4,84.0,88943920.42,325506082.75
Director right everyone the team help.,2012,7.5,24.9,15140466.74,476531597.83
Of nature again. Forward coach fish stock.,2001,2.7,14.9,25890674.74,140007287.91
Fly modern so.,1993,4.7,67.1,12302951.13,125069910.6
Production federal road both.,2015,1.2,46.1,95525505.04,449354171.1
State win this. Left attack leader act.,1992,3.5,99.7,32786995.99,499596208.71
Hear ask teach full answer reveal.,1957,2.8,58.6,95600009.91,259333027.27
Situation may down risk fund value pass.,2019,4.1,6.6,27445977.33,13098856.44
Thank hair subject place mind page.,1954,5.8,86.1,47497649.18,286739388.52
To read development cover probably.,2023,6.2,32.0,59173245.65,319683432.64
Quite participant pick upon over best get.,2020,2.3,26.5,70316583.09,277725389.8
Action pick we word produce. Story be idea past.,2015,1.8,73.6,77170338.79,261769795.73
Glass cell group drop deal buy.,2005,7.9,42.7,75100142.07,223454985.24
Range interesting create.,2006,6.9,78.1,11187248.89,179573547.8
Ask green series dog month every.,2003,1.2,20.7,40900339.81,375812618.73
Hard science model trouble. Meeting girl kind.,1983,9.2,45.1,15465352.53,43765806.86
Early better his training light free example.,2021,4.0,96.0,44336353.57,325493169.78
Our nice buy let nearly generation cause.,2006,3.0,26.9,95040640.9,349907122.21
Mind forget wall military imagine.,1955,5.5,94.7,54738028.49,446237210.36
Baby water treatment myself news.,2023,9.0,31.9,1163916.49,148603649.37
Black onto book ever.,2011,2.7,77.3,43580850.56,23859491.36
Else area decide onto.,1960,9.6,44.3,50720752.7,180271332.77
Authority close author include.,2014,5.3,82.0,73348318.87,484401991.36
Rest peace level away she resource.,2007,2.1,86.3,11568628.06,310384046.66
Again ground teacher media thus.,1968,7.0,75.8,42234656.1,168708470.69
Very city that moment age.,1984,3.9,52.4,53297320.36,95401118.45
Life push then factor network word practice.,2008,3.7,17.5,21804191.06,203690900.77
Region heart give bed ball maintain.,2012,9.4,93.1,23944888.2,437578363.08
Lead sport nation others.,1996,3.0,24.6,44644903.59,98284880.96
Number model card.,1997,5.6,19.2,82996748.36,173842767.02
It fear task. Affect song my civil hold home.,2001,1.3,69.5,28955330.22,430949841.71
Study toward yet not section deal near.,1961,7.2,94.0,67137615.71,407523413.62
Current kid operation.,1958,9.7,97.0,67141255.45,483063647.41
His bad certainly clearly.,1988,7.0,50.7,14649257.67,446028851.74
Challenge century affect reality.,1998,8.5,59.2,68051938.38,409642337.51
Political act yes wonder.,1976,6.1,19.0,47032784.93,206531576.8
Security strategy meet edge to ok.,1960,8.0,33.6,81029974.33,339055365.64
Lot thus feel though hot structure.,1978,1.9,10.5,35749744.68,211393081.83
Her kitchen difference more case ground loss.,2002,3.4,4.3,25253001.85,286477206.03
Blood reveal let then create pull when.,1959,6.3,69.7,13479097.95,397542933.62
Safe skin now on out.,1977,9.5,60.2,96620039.65,295857477.87
Treat far service place free.,1967,8.3,87.4,66181584.72,297677064.63
Interest especially forward serve author against.,1989,2.5,75.0,64138332.85,193133032.67
Glass fly push live future instead.,1998,3.7,71.2,32791139.94,155611748.49
Radio economy television bar.,2000,1.1,69.8,14975138.11,338460746.61
Floor their population charge. Ready its similar.,2009,2.5,15.9,13948083.59,257262483.53
Stuff return quality.,1996,2.7,66.0,98580988.13,123053939.03
Herself bring training state.,1964,7.0,26.9,22834145.72,241618463.41
Answer these game. Itself plan kitchen less.,1992,5.7,42.1,87915077.33,492770700.82
Act decision design push only.,2004,3.4,77.0,10355953.17,297229145.77
Evening culture lay effort behavior.,1981,9.6,10.8,54272325.12,316986892.77
Card full young. Lead kind major indeed.,1971,7.9,25.7,82855888.34,289302291.92
Employee simple both much then civil.,1968,8.5,69.5,40010621.81,32842691.54
Story message near environment.,1996,2.8,79.7,66638598.75,313565335.59
Hospital more top small hot church book fall.,1993,1.9,12.4,46893136.08,294921820.77
Read manage respond rather though again.,1976,6.7,4.3,88377698.98,230249888.86
Create amount country political represent.,2020,9.7,15.2,36070106.64,237356527.74
Nothing future apply.,1966,4.5,6.1,68513265.82,175498321.19
Appear huge sport final.,1989,2.3,55.4,30682492.04,249798847.15
Social hit spring whom build half.,1994,8.7,54.0,17398848.64,373460407.25
Tv culture stay Republican guess.,1991,2.4,27.0,83702844.97,204475715.58
Run firm its none. Turn grow defense gas kitchen.,1997,5.5,39.7,45075365.01,313455703.9
Off describe group growth wrong not.,2007,6.4,82.1,67787271.16,343341851.76
Service into against class music.,1960,9.1,25.9,79402275.39,187422080.47
Seven police kitchen house upon seat dream.,1953,9.5,54.7,78395801.39,260337507.85
Total weight author safe bill most contain.,2012,8.2,3.5,82287440.15,497744332.03
Sound smile will might or building.,1980,3.5,85.5,49704530.35,50084676.28
Candidate floor worker expert near.,1973,6.6,46.5,6454893.57,29096638.29
Walk girl eight statement.,1959,2.8,42.3,73844909.81,329037975.41
Eat major manager support.,2023,1.6,16.4,69312235.57,325120135.37
All hair win condition.,1953,3.5,40.1,34679701.71,99730062.4
Through floor Democrat head sometimes.,1954,5.2,37.5,14668152.46,200968539.01
Poor leg million.,2001,4.9,27.3,76554912.14,380444493.77
Sense goal guy option physical.,1999,2.6,26.7,10685524.82,320320276.5
Only drive when mother government.,1986,5.7,67.2,5485947.55,481210746.49
Practice decide author laugh who detail power.,2013,9.3,27.3,82207886.42,369720574.17
Set want story court song.,1954,6.3,1.5,37943469.2,60826526.25
Kid morning drive enter late whose job.,1972,1.6,40.6,37207181.27,105988880.28
Important office simple newspaper bar as state.,2003,8.4,23.9,64306453.62,257957860.53
Body deep future report hit.,1955,5.8,52.5,3962989.37,493768740.97
Somebody man Democrat theory always paper.,2016,6.1,36.1,75576148.37,228645211.47
Production hotel someone individual keep include.,1971,5.7,90.0,38222501.7,261033739.29
Less space nor bed song group meeting.,2016,1.1,27.9,52359244.59,243160069.15
Huge center player although half and.,1955,7.2,43.4,37039482.84,22193865.02
Beautiful already nearly tell article term ever.,1967,3.2,52.9,80002642.37,173408132.24
Beautiful training marriage since.,1982,4.2,41.3,7908616.17,118900484.9
Value good social visit of fight.,2011,7.4,75.0,67935453.94,112570156.44
Newspaper cell return page next.,1994,6.9,33.5,16437748.15,437393946.21
Heart sport main population concern.,2016,7.4,32.8,34423883.8,487147054.39
Than later this attack one.,1963,9.9,16.7,87618631.5,135468553.75
Set describe test my treat.,1968,1.9,3.2,62707119.56,77782729.84
Thing various lawyer hotel our society also.,2015,6.0,30.5,49638574.1,76726544.9
See pass certain food wind.,1951,5.7,25.3,91274206.67,298207182.55
Might development response wind.,2022,5.9,38.1,76656178.23,36587224.28
Expect mention kind huge money every.,1971,8.2,56.6,15238512.97,256815118.47
Rise any few card carry green couple.,1986,9.2,9.5,71533712.68,266202738.65
Buy politics look still bad save dream.,1951,5.4,62.9,9070192.74,202474347.0
Early summer help sense even toward.,1986,4.3,90.5,94386618.98,384972737.18
Until page stage write in color.,1995,5.6,63.2,20396402.69,22880854.65
See how force affect sell purpose nor.,2014,3.8,24.1,63918084.06,263966069.01
Father low key school reason.,1968,9.5,8.9,38601347.35,196355674.78
Subject view bed product middle hear impact.,2012,8.0,2.8,96184931.38,488066701.81
West mouth future live no.,1969,2.8,48.1,30668722.87,56017561.66
So all catch within democratic trouble report.,1979,7.1,1.5,60384927.13,378444149.66
Staff expert fund young majority little.,2014,4.3,71.9,70299878.76,68153708.21
Big seat red heavy.,1991,6.0,71.5,57021461.37,388547708.75
Must help event book find.,1979,1.2,71.1,80364147.76,176177123.81
Memory parent behind official listen buy.,1995,9.8,76.5,90231937.77,287782416.71
System seem industry lose from.,2019,7.3,27.5,62939342.65,483108668.24
Admit front feeling various.,1967,9.5,65.2,6102968.24,184992619.65
Special fill remember second.,1972,3.3,96.4,41703709.4,285425385.7
Often dream data help up authority.,2019,5.8,43.2,41841740.17,287519354.63
Material matter worker college.,1974,2.1,84.9,51418118.43,435681374.37
Painting decide yourself if growth from.,1982,3.6,83.2,84893373.13,312440087.83
Least interest family according develop modern.,1977,9.5,6.0,84329878.92,323313094.57
Might blue need necessary piece.,1959,8.5,33.4,46229951.8,292452341.41
Nearly book color order partner.,1990,5.5,61.2,89504000.9,121072483.83
Pressure according perhaps.,2021,8.2,57.4,92346273.45,379193707.15
Management blue so month base in name.,1993,7.9,55.2,9538717.24,208933343.84
Her step herself follow various type.,2018,6.6,77.7,13182114.4,335227108.92
Man me law air kind. Ahead nation reduce officer.,1961,8.2,64.1,57348827.15,494788761.5
Receive think nothing her.,2016,9.0,81.8,97898990.41,181221280.76
World quite month effort several mother.,2017,2.6,54.1,54028901.46,152327578.71
Eye technology into unit record this standard.,1972,5.8,68.0,84180033.89,124412145.6
Need develop man else. Right ready make.,1987,5.5,71.0,72083574.57,471889202.61
Maybe near tend crime.,1973,7.5,8.7,17152142.29,293640029.62
Hair worry free maintain.,2016,7.7,75.3,9453229.73,435498795.02
Hair entire example surface war will window time.,1973,1.8,36.0,2853272.25,159501225.69
Child just sometimes case mouth letter garden.,2020,1.4,27.5,76004502.16,452766408.75
Baby support old you maybe size.,1985,4.0,76.2,5865147.53,204914129.28
Future boy learn husband eye.,2008,3.0,38.9,51353856.84,129543651.1
Vote concern cell seek show budget.,2021,7.9,52.3,4952827.23,488253066.7
Research item material organization sure yeah.,1963,7.4,42.4,52300364.22,339663500.99
Relate among yourself wear form turn adult.,2015,1.7,59.0,63049113.28,446592173.51
Market reality especially. Happen example after.,2010,4.3,89.2,29761385.48,371525960.46
Rule perhaps door up group brother quality thank.,1972,6.9,17.4,76095717.25,334980758.32
Here activity laugh.,1974,7.1,13.4,93522911.18,391316518.92
Money industry single my.,2015,4.9,81.6,19053689.29,64854846.75
Sea young industry reach.,2015,4.0,1.9,99117555.93,190653080.78
Room music produce whose.,1958,6.6,6.0,36920875.38,162299295.02
Police season treat wait discuss growth specific.,2012,3.3,59.4,27826337.38,467876682.98
Eat much people official difficult door other.,1997,7.8,11.2,15233911.62,401406958.02
Authority question various local.,1962,9.0,3.2,86264084.14,431092106.79
Food interview still argue. Local write smile.,1999,3.6,84.3,89575732.06,155017193.03
Mr meeting what.,2012,2.9,69.5,25005235.71,86304748.25
Information lose success early early.,2014,1.9,99.0,63239767.59,65165820.78
Piece write around write.,1977,9.1,99.8,93393071.58,332529528.89
Hundred away arrive worker step claim.,2023,6.2,19.4,41263159.1,147369044.35
She past possible feeling newspaper very.,1962,4.6,54.5,52959978.56,269712298.91
Personal ahead meet civil lose.,1950,1.6,58.3,32625748.69,419533251.05
Consumer include within machine water movement.,1959,5.7,71.2,48614314.27,322683419.81
Recently hope leave black total food player.,1995,7.1,79.1,4757182.36,250853269.25
Agency number sea avoid white media.,1951,1.9,99.3,19885796.45,219415206.25
Office walk certain both too.,2017,4.1,97.4,40654104.78,159650395.26
Contain close somebody.,2021,4.0,68.0,72338852.17,375511730.48
Church step attention run.,1982,6.6,28.3,79283151.53,325494369.23
Sometimes soon south rule eat around yard.,2023,8.7,56.2,78649913.26,320358242.91
Citizen than far article begin line.,1953,2.9,99.7,69795519.61,318923337.95
Bring health probably.,2023,9.6,7.2,24896281.7,139374070.11
Anything black arm voice return prevent.,2004,6.4,82.6,8920249.45,467906662.63
Pretty add choose.,1957,5.5,56.8,89894094.64,148963710.56
Sign speech smile bring population there natural.,1965,9.6,63.8,94456797.68,21983554.23
Just at these scene card themselves but.,2000,3.8,70.5,78842167.73,48564554.1
Certainly affect series always forward.,1971,6.5,20.6,93599300.16,124222715.04
Upon us nothing house ready debate.,2015,7.8,13.1,50247873.41,8634766.79
Bring play stage forget cost western young.,2011,1.4,92.3,31436289.19,391848515.81
Edge near book step front game expect understand.,1993,3.4,87.6,29399172.66,27041225.81
Again everything believe.,1955,6.8,4.9,29073085.26,57935838.3
Begin consider around smile fear me save sort.,1981,5.3,76.3,16543595.31,344561918.99
Than morning maintain eight perhaps.,2008,5.3,37.6,26162317.25,71915841.11
Particularly close relate interview.,2014,7.3,53.5,65971534.46,77018755.06
Paper stage bar general. Son late wife training.,1970,9.3,98.7,85762119.55,129854096.92
Run strategy individual else.,1963,5.7,65.3,54713239.28,202423478.36
Quality physical garden walk.,1951,6.8,75.4,31897273.24,473948983.4
Ten particular position.,1987,2.7,43.2,69683653.46,189922630.26
Wind message yes. Contain difference buy red.,1998,4.5,81.5,76937730.92,474169283.86
Course foot center heavy future teacher project.,1963,5.0,17.0,57751118.39,70562190.4
Professor easy ground stock after call best onto.,2007,8.1,35.7,25650810.07,253608247.37
Successful where sound film long.,1993,3.7,50.0,43840529.24,442052880.14
Hour little surface hold society lot.,2005,9.4,20.3,57894585.42,245497236.38
Area deep bed behind all opportunity some.,1976,9.5,2.9,87071853.98,363304981.68
Scene Mrs who you energy chair moment.,1960,6.0,29.2,41701010.28,186852638.19
Vote cost eye goal tough why.,2001,5.6,16.4,21444267.41,458634228.36
Impact like catch husband.,1967,5.4,16.9,51312663.5,430533150.58
